Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,162,0,1838
2,196,0,1642
3,153,0,1489
4,28,0,1461
5,151,0,1310
6,93,0,1217
7,0,783,2000
8,32,0,1968
9,156,0,1812
10,47,0,1765
11,18,0,1747
12,71,0,1676
13,38,0,1638
14,0,362,2000
15,184,0,1816
16,170,0,1646
17,19,0,1627
18,117,0,1510
19,100,0,1410
20,119,0,1291
21,0,709,2000
22,197,0,1803
23,54,0,1749
24,59,0,1690
25,40,0,1650
26,133,0,1517
27,14,0,1503
28,0,497,2000
29,120,0,1880
30,87,0,1793
31,182,0,1611
32,196,0,1415
33,198,0,1217
34,138,0,1079
35,0,921,2000
36,45,0,1955
37,35,0,1920
38,24,0,1896
39,54,0,1842
40,193,0,1649
41,117,0,1532
42,0,468,2000
43,37,0,1963
44,20,0,1943
45,169,0,1774
46,167,0,1607
47,68,0,1539
48,121,0,1418
49,0,582,2000
